id,split,cluster,category,difficulty,query,context,constraints,expected_domain_expert,expected_perspectives,evaluation_tags,rubric_must_cover,rubric_desirable,should_consider_risks,should_show_tradeoffs,should_propose_alternatives,should_include_steps,should_include_metrics,should_acknowledge_uncertainty,reference_outline,notes_for_evaluators,expected_single_model_failure_modes
CMM-001,pilot,strategy_governance,strategy,easy,Как университету повысить вовлечённость студентов в учебный процесс?,"Региональный вуз. Бюджет ограничен. Обучение проходит в гибридном формате. Преподаватели перегружены, а посещаемость и активность падают.","Нельзя нанимать много новых сотрудников | Изменения должны стартовать в течение одного семестра | Нужно учитывать и онлайн, и офлайн взаимодействие",,strategy | user | risk | engineering,engagement | education | hybrid | budget | multi_stakeholder,вероятные причины низкой вовлечённости | 2-4 реалистичных интервенции | учёт ограниченного бюджета | учёт гибридного формата | метрики проверки эффекта,приоритизация мер | короткий план запуска пилота | механизм обратной связи от студентов,True,True,True,True,True,False,"Разделить причины на академические, организационные и мотивационные. | Предложить недорогие меры: регулярная обратная связь, микроактивности, peer-support, понятные дедлайны. | Сделать отдельные решения для онлайн и офлайн взаимодействия. | Запустить пилот на одном факультете и сравнить посещаемость/активность до и после. | Отметить риски перегрузки преподавателей и формального участия студентов.",Хороший ответ не должен ограничиваться общими советами вроде 'сделать обучение интереснее'; нужны конкретные управленческие шаги и метрики.,общие советы без приоритизации | игнорирование бюджетных ограничений | слабая работа с рисками
CMM-002,benchmark,strategy_governance,urban_strategy,medium,"Как развивать туристический потенциал города так, чтобы не ухудшить качество жизни жителей?","Исторический малый город. Жители жалуются на шум, перегрузку центра и рост цен. У города ограниченный маркетинговый бюджет, но есть сильное культурное наследие.",Нельзя делать ставку только на массовый туризм | Нужно учитывать экологию и мнение жителей | Желателен поэтапный план на 1-2 года,,strategy | user | risk,tourism | city | stakeholders | sustainability | tradeoffs,"баланс интересов туристов и жителей | несколько направлений развития, а не одно решение | ограничения городской инфраструктуры | метрики успеха | риски перегрузки центра",сегментация туристов | распределение потоков по локациям | механизм участия жителей в принятии решений,True,True,True,True,True,False,"Сместить фокус с объёма трафика на качество и распределение туристических потоков. | Развивать маршруты и события вне перегруженного центра. | Синхронизировать маркетинг, транспорт, навигацию и правила использования общественных пространств. | Ввести метрики: загрузка локаций, удовлетворённость жителей, средний чек, сезонность. | Указать риски овертуризма, конфликта интересов и неравномерного распределения выгоды.","Сильный ответ показывает, что туризм — это не только маркетинг, но и управление нагрузкой на город.",односторонний маркетинговый уклон | игнорирование мнения жителей | нет метрик нагрузки
CMM-003,benchmark,strategy_governance,education_management,medium,Как университету снизить отчисляемость студентов первого курса?,Отчисляемость особенно высока у студентов из малых городов. Администрация хочет быстрые меры без серьёзной перестройки учебных планов.,Нельзя радикально менять учебный план | Важно не снизить академические требования | Нужны меры на уровень факультета и на уровень сервиса поддержки,Education,strategy | user | risk | domain,dropout | education | retention | support | equity,диагностика причин отчисления | поддержка адаптации первокурсников | меры раннего выявления риска | сохранение академических стандартов | показатели удержания,менторство | индивидуальные маршруты помощи | работа с расписанием и коммуникацией,True,True,True,True,True,False,"Выделить группы риска и причины: академический шок, бытовая адаптация, финансовый стресс, отсутствие поддержки. | Ввести систему ранних сигналов по посещаемости, заданиям и обращениям. | Запустить менторство и короткие адаптационные сервисы без смягчения требований. | Определить эскалацию: куратор, психологическая/академическая помощь, деканат. | Отслеживать удержание, академические долги, вовлечённость и обращаемость.","Важно, чтобы ответ не сводился к 'поддержать студентов'; нужны управляемые механизмы и сохранение стандартов.",слабая сегментация причин | нет системы раннего выявления | слишком мягкие и неопределённые меры
CMM-004,benchmark,strategy_governance,business_strategy,medium,Как стартапу выйти на новый рынок при ограниченном бюджете?,"B2B SaaS-продукт уже работает на одном рынке, но второй рынок отличается требованиями клиентов и ожиданиями по поддержке.",Нельзя одновременно разворачивать большие продажи и глубокую локализацию | Нужно выбрать приоритеты на первые 6 месяцев | Команда маленькая,,strategy | risk | user | engineering,go_to_market | startup | prioritization | budget | b2b,варианты стратегии выхода | критерии выбора сегмента | приоритизация на первые 6 месяцев | риски распыления ресурсов | метрики проверки гипотез,поэтапный GTM-план | минимальный набор локализации | обратная связь от первых клиентов,True,True,True,True,True,True,"Не выходить 'широко', а выбрать узкий сегмент и гипотезу ценности. | Разделить продуктовые, коммерческие и операционные адаптации по приоритету. | Сделать пилот с несколькими целевыми клиентами вместо масштабного запуска. | Измерять CAC, скорость цикла продаж, retention/activation, нагрузку на поддержку. | Указать риски распыления команды, неверной локализации и ложноположительных сигналов рынка.","Хороший ответ должен работать как реальный план выхода, а не как список банальных советов по маркетингу.",нет жёсткой приоритизации | переоценка возможностей команды | игнорирование продуктовых ограничений
CMM-005,benchmark,strategy_governance,public_services,medium,Как городской библиотеке повысить посещаемость и не превратиться просто в коворкинг?,"Посещаемость падает, молодёжь приходит редко, администрация города ждёт более заметной социальной пользы от библиотеки.",Бюджет на новые проекты небольшой | Нужно сохранить образовательную и культурную миссию | Изменения должны быть заметны в течение года,,strategy | user | risk,library | public_value | community | mission | culture,новые форматы привлечения аудитории | сохранение миссии библиотеки | сегментация целевых групп | показатели эффекта | ограничения бюджета,"партнёрства со школами/сообществами | программная сетка мероприятий | измерение не только посещаемости, но и пользы",True,True,True,True,True,False,"Развести функции пространства: чтение, обучение, сообщество, цифровая грамотность. | Предложить отдельные продукты для подростков, семей, старшего поколения. | Увязать мероприятия с миссией библиотеки, а не просто с привлечением трафика. | Считать не только посещаемость, но и повторные визиты, участие в программах, партнёрства. | Указать риск размывания миссии и перегрузки персонала.","Сильный ответ не противопоставляет 'посещаемость' и 'миссию', а ищет управляемый баланс.",поверхностный event-based подход | нет миссионного фильтра | нет сегментации аудитории
CMM-006,benchmark,strategy_governance,healthcare_strategy,hard,"Как городской больнице определить, какие цифровые сервисы внедрять в первую очередь?","Жалобы пациентов связаны с записью, очередями и непонятной навигацией. Бюджет на цифровизацию ограничен, а персонал опасается дополнительной нагрузки.",Нельзя внедрять сразу много систем | Нужно показать эффект для пациентов в обозримый срок | Нужно учитывать готовность персонала,Medicine,strategy | user | risk | engineering | domain,healthcare | prioritization | digital_services | patient_experience | change_management,критерии приоритизации сервисов | эффект для пациента и персонала | ограничения внедрения | метрики результата | риски неудачного внедрения,матрица quick wins vs complexity | учёт цифровой зрелости | пилотный запуск,True,True,True,True,True,True,"Оценивать сервисы по пациентской боли, сложности внедрения и зависимости от других систем. | Приоритетно рассмотреть запись, уведомления, прозрачность очередей, навигацию. | Не забыть про обучение персонала и интеграцию с существующими процессами. | Запустить пилот на одном отделении и смотреть NPS/ожидание/долю успешных записей. | Указать риск цифрового сопротивления и роста операционной нагрузки на старте.","Хороший ответ должен быть управленческим, а не просто перечислять 'нужные IT-функции'.",фокус только на пациентском UX | игнорирование операционных ограничений | нет критерия приоритизации
CMM-007,pilot,engineering_delivery,scalability,easy,Как масштабировать веб-приложение при росте числа пользователей в 10 раз?,"Стартап. Сейчас всё работает на простой архитектуре. Бюджет ограничен, downtime нежелателен.",Нельзя переписывать всё с нуля | Нужно разделить быстрые и долгосрочные меры | Команда разработки небольшая,,engineering | strategy | risk,scaling | architecture | startup | cost | operations,быстрые меры и долгосрочные меры | узкие места системы | учёт бюджета и команды | риски масштабирования | метрики/наблюдаемость,кэширование | очереди/асинхронность | план измерений под нагрузкой,True,True,True,True,True,False,"Сначала измерить, где узкое место: БД, CPU, сеть, внешние API. | Предложить quick wins: кэш, индексы, CDN, rate limiting, очереди. | Отдельно обозначить структурные изменения, если рост закрепится. | Указать риски преждевременной сложности и операционных сбоев. | Определить метрики latency, error rate, throughput и стоимость.",Сильный ответ не должен автоматически предлагать микросервисы без диагностики.,советы без диагностики узких мест | преждевременная сложность | мало операционных рисков
CMM-008,benchmark,engineering_delivery,architecture_decision,medium,Стоит ли переводить государственную сервисную платформу с монолита на микросервисы?,"Система критична для гражданских услуг. Команда поддержки жалуется на сложность релизов, но у организации ограничена DevOps-зрелость.",Нужно учитывать надёжность и сопровождение | Нельзя позволить длительную нестабильность сервиса | Решение должно быть обосновано поэтапно,,engineering | risk | strategy,monolith | microservices | government | reliability | ops,критерии принятия решения | плюсы и минусы обеих архитектур | зрелость команды и процессов | поэтапность перехода | риски миграции,вариант модульного монолита | декомпозиция по bounded contexts | операционные требования,True,True,True,True,False,True,"Не рассматривать миграцию как автоматическое улучшение; сначала описать проблемы релизов и границы доменов. | Сравнить монолит, модульный монолит и selective extraction. | Связать решение с observability, CI/CD, ownership и on-call-практиками. | Предложить постепенную эволюцию вместо big-bang миграции. | Подчеркнуть риски роста операционной сложности и снижения надёжности.","Ответ должен быть осторожным и инженерно обоснованным, а не трендовым.",трендовое обожествление микросервисов | нет альтернативы модульному монолиту | игнорирование зрелости эксплуатации
CMM-009,benchmark,engineering_delivery,service_design,medium,"Как внедрить AI-чатбота в службу поддержки университета так, чтобы не ухудшить качество помощи студентам?","Студенты часто спрашивают про расписание, справки и дедлайны. Сотрудники перегружены. Есть опасения по поводу конфиденциальности и неверных ответов.",Нельзя переводить все обращения только в чатбот | Нужен понятный маршрут эскалации к человеку | Нужна защита персональных данных,Education,engineering | user | risk | domain,chatbot | support | education | privacy | handoff,границы задач чатбота | маршрут эскалации к человеку | обработка ошибок и неопределённости | данные/конфиденциальность | критерии качества,база знаний | логирование проблемных кейсов | pilot scope,True,True,True,True,True,True,"Ограничить чатбот частыми и низкорисковыми запросами. | Сделать обязательную эскалацию для нестандартных и чувствительных кейсов. | Отдельно проработать актуальность базы знаний и аудит ошибочных ответов. | Минимизировать персональные данные и разграничить доступы. | Мерить deflection rate, CSAT, частоту эскалаций и процент неверных ответов.","Хороший ответ сочетает качество сервиса, безопасность и реалистичную роль человека в контуре.",слишком широкий scope чатбота | непроработанный handoff | слабая работа с ошибками модели
CMM-010,benchmark,engineering_delivery,migration,hard,Как мигрировать больничную информационную систему на новую платформу с минимальным риском остановки работы?,"Старая система устарела, но клиника не может позволить себе длительные простои. Есть интеграции с лабораториями, регистратурой и архивом.",Downtime должен быть минимальным | Нельзя потерять исторические данные | Нужно учесть обучение персонала,Medicine,engineering | risk | strategy | domain | user,migration | healthcare | integrations | downtime | change_management,этапность миграции | данные и интеграции | план отката/резервирования | обучение пользователей | риски остановки клинических процессов,пилот на отдельном контуре | двойной контур/parallel run | контроль качества данных,True,True,True,True,False,True,"Инвентаризировать критические процессы, интеграции и данные. | Разделить миграцию на волны и предусмотреть parallel run там, где возможно. | Сделать критерии готовности, тесты целостности данных и план отката. | Подготовить персонал и режим усиленной поддержки на переходе. | Указать клинические и операционные риски, если миграция пойдёт по big-bang сценарию.","Нужен именно план снижения риска, а не общее описание миграции.",нет rollback/parallel run | недооценка обучения персонала | слабое внимание к данным и интеграциям
