"id","query","context","constraints","expected_perspectives","rubric_must_cover","rubric_desirable","expected_single_model_failure_modes","expected_mode"
"V2-001","Что такое коллективная метамодерация?","Пользователь просит короткое объяснение термина.","Ответ кратко до 5 предложений.","","простое определение | отличие от обычной модерации | упоминание нескольких перспектив","пример применения","слишком длинное объяснение | уход в абстракции","DIRECT"
"V2-002","Кратко объясни разницу между метрикой и KPI.","Общий образовательный вопрос без высокого риска.","Ответ простым языком.","","разница между метрикой и KPI | короткий пример","предупреждение что KPI является выбранной ключевой метрикой","избыточный консалтинг | нет примера","DIRECT"
"V2-003","What is a trade-off in product design?","Simple explanation request.","Keep it concise.","","plain definition | product design example | mention competing goals","one sentence summary","too broad | no product example","DIRECT"
"V2-004","Помоги выбрать формат еженедельной встречи команды.","Небольшая команда разработки устала от длинных созвонов.","Встреча не дольше 30 минут | нужно сохранить синхронизацию","strategy | user","2-3 формата встречи | критерии выбора | учёт ограничения 30 минут","шаблон повестки","общие советы | игнорирование ограничения времени","LIGHT_CMM"
"V2-005","Сравни два подхода к сбору обратной связи от клиентов.","B2B SaaS команда выбирает между интервью и короткими опросами.","Нужно начать за две недели | команда маленькая","strategy | user | measurement","сравнение интервью и опросов | критерии выбора | план запуска","метрики качества обратной связи","нет сравнения | нет практического шага","LIGHT_CMM"
"V2-006","Составь лёгкий план запуска внутренней базы знаний.","Компания 40 человек теряет решения в чатах.","Нельзя покупать дорогую систему | нужен старт за месяц","strategy | engineering | user","пошаговый план | недорогой инструмент | правила наполнения","роли владельцев контента","слишком сложная архитектура | нет внедрения","LIGHT_CMM"
"V2-007","Как выбрать пилотный канал продвижения для локального сервиса?","Небольшой сервис доставки хочет проверить спрос.","Бюджет ограничен | нужно измерить результат","strategy | measurement | cost","критерии выбора канала | минимальный эксперимент | метрики результата","порог остановки эксперимента","много каналов сразу | нет метрик","LIGHT_CMM"
"V2-008","Предложи структуру короткого отчёта по итогам проекта.","Проект завершён и нужно отчитаться перед руководством.","Отчёт до 2 страниц | нужны выводы и следующие шаги","strategy | user","структура отчёта | итоги | риски | следующие шаги","пример заголовков","слишком длинный отчёт | нет выводов","LIGHT_CMM"
"V2-009","Нужно разработать программу повышения вовлечённости студентов в региональном вузе.","Гибридное обучение. Преподаватели перегружены. Активность студентов падает.","Бюджет ограничен | нельзя нанимать много новых сотрудников | не увеличить нагрузку преподавателей","strategy | user | risk | measurement | ethics","диагностика причин | реалистичные меры | метрики вовлечённости | риски нагрузки","пилот на одном факультете | обратная связь студентов","общие советы | игнорирование нагрузки | нет метрик","FULL_CMM"
"V2-010","Как городу развивать туризм без конфликта с жителями?","Исторический малый город сталкивается с шумом и перегрузкой центра.","Нельзя делать ставку только на массовый туризм | учитывать жителей | бюджет ограничен","strategy | stakeholder | risk | user","баланс туристов и жителей | управление потоками | риски овертуризма | метрики качества жизни","участие жителей в решениях","маркетинг без жителей | нет trade-offs","FULL_CMM"
"V2-011","Разработай политику использования генеративного ИИ в школе.","Школа хочет разрешить ИИ, но есть опасения родителей и учителей.","Нужно защитить учеников | соблюсти приватность | не перегрузить учителей","ethics | legal | user | risk | stakeholder","правила допустимого использования | приватность | академическая честность | роли учителей и родителей","пилот и обучение учителей","слишком общие правила | нет защиты детей","FULL_CMM"
"V2-012","Оцени стратегию выхода B2B SaaS на новый рынок.","Команда маленькая. Новый рынок отличается требованиями клиентов.","Нельзя одновременно делать широкие продажи и глубокую локализацию | горизонт 6 месяцев","strategy | engineering | risk | cost | measurement","приоритизация сегмента | GTM-план | продуктовые ограничения | метрики проверки","критерии остановки пилота","распыление ресурсов | нет продуктовых ограничений","FULL_CMM"
"V2-013","Как внедрить цифровую платформу в медицинской организации?","Клиника хочет улучшить запись пациентов и внутренний документооборот.","Нельзя нарушить медицинскую тайну | нужно минимизировать простой врачей | бюджет ограничен","legal | risk | engineering | user | implementation","приватность и безопасность | этапы внедрения | обучение персонала | риски для пациентов","пилотное отделение","игнорирование безопасности | слишком технический план","FULL_CMM"
